airport_name,iata_code,latitude,longitude,airport_code,airport_type
Anahim Lake Airport,YAA,52.451501,-125.303776,CAJ4,medium_airport
St Augustin Airport,YIF,51.2117,-58.658298,CYIF,medium_airport
Dolbeau-Saint-Felicien Airport,YDO,48.7785,-72.375,CYDO,medium_airport
Fort Resolution Airport,YFR,61.1808013916,-113.690002441,CYFR,medium_airport
Grand Forks Airport,ZGF,49.015598,-118.431,CZGF,medium_airport
Saint-Léonard Airport,YSL,47.157097,-67.836242,CYSL,medium_airport
Cartwright Airport,YRF,53.682501,-57.042303,CYCA,small_airport
Chevery Airport,YHR,50.468322,-59.637823,CYHR,small_airport
Fort Albany Airport,YFA,52.203451,-81.695194,CYFA,small_airport
Fort Severn Airport,YER,56.018902,-87.676102,CYER,small_airport
Gods Lake Narrows Airport,YGO,54.55768,-94.490061,CYGO,small_airport
Gods River Airport,ZGI,54.839699,-94.078598,CZGI,small_airport
Inukjuak Airport,YPH,58.471901,-78.076897,CYPH,small_airport
Cape Dorset Airport,YTE,64.230003,-76.526703,CYTE,small_airport
Pangnirtung Airport,YXP,66.144878,-65.713606,CYXP,small_airport
Peawanuck Airport,YPO,54.987932,-85.442648,CYPO,small_airport
Qikiqtarjuaq Airport,YVM,67.54656,-64.03141,CYVM,small_airport
Sachigo Lake Airport,ZPB,53.890885,-92.195935,CZPB,small_airport
Shamattawa Airport,ZTM,55.86356,-92.081137,CZTM,small_airport
Tulita Airport,ZFN,64.909496,-125.570297,CZFN,small_airport
Waskaganish Airport,YKQ,51.473301,-78.758301,CYKQ,small_airport
Whale Cove Airport,YXN,62.240002,-92.598099,CYXN,small_airport
York Landing Airport,ZAC,56.089401,-96.089203,CZAC,small_airport
La Romaine Airport,ZGS,50.259553,-60.674357,CTT5,small_airport
Collins Bay Airport,YKC,58.2360992432,-103.678001404,CYKC,small_airport
Conklin (Leismer) Airport,CFM,55.695301,-111.278999,CET2,small_airport
Creston Valley Regional Airport - Art Sutcliffe Field,CFQ,49.03689956665,-116.49800109863,CAJ3,small_airport
Fairmont Hot Springs Airport,YCZ,50.331052,-115.873739,CYCZ,small_airport
Fort Mackay / Horizon Airport,HZP,57.381699,-111.700996,CYNR,small_airport
Nakina Airport,YQN,50.18280029296875,-86.69640350341797,CYQN,medium_airport
Port-Menier Airport,YPN,49.836399,-64.288597,CYPN,medium_airport
Puvirnituq Airport,YPX,60.050598,-77.286903,CYPX,medium_airport
Petawawa Heliport,YWA,45.952202,-77.319199,CYWA,heliport
Cochrane Airport,YCN,49.10559844970703,-81.01360321044922,CYCN,medium_airport
Kelsey Airport,KES,56.0374984741,-96.5096969604,CZEE,medium_airport
Bearskin Lake Airport,XBE,53.965599060058594,-91.0271987915039,CNE3,small_airport
Berens River Airport,YBV,52.358898,-97.018303,CYBV,small_airport
Big Trout Lake Airport,YTL,53.817799,-89.896896,CYTL,small_airport
Cat Lake Airport,YAC,51.7272,-91.824402,CYAC,small_airport
